step,tokens,train_loss,val_loss,train_bpb,val_bpb
0,0,10.397398471832275,10.397388458251953,3.1640024361475825,3.1794449100555138
25,6553600,6.508085131645203,6.436161994934082,1.980698331411665,1.9684026264019256
50,13107200,5.936117053031921,5.882356524467468,1.8066370393437647,1.7990491869160075
75,19660800,5.556561827659607,5.527268052101135,1.6909343128823768,1.6903061468404905
100,26214400,5.25393009185791,5.2488933801651,1.598799136400132,1.6051407015054222
125,32768000,5.010552525520325,5.014548301696777,1.5247799691705723,1.5334794900350592
150,39321600,4.771196007728577,4.774667382240295,1.4519854202520248,1.4601661281770413
175,45875200,4.564003348350525,4.553759813308716,1.3888997176128697,1.3925482241242337
200,52428800,4.418116569519043,4.393782734870911,1.3444169530272037,1.3435387334752609
225,58982400,4.317348957061768,4.296067953109741,1.3137304560642507,1.3136401515659357
250,65536000,4.250286102294922,4.233900308609009,1.2933065988639958,1.294591726457984
275,72089600,4.180647850036621,4.1621862053871155,1.2721919881114452,1.2727051109586291
300,78643200,4.126770734786987,4.120369732379913,1.2558422301380732,1.2599819224901279
325,85196800,4.0850183963775635,4.080167055130005,1.2430849060972748,1.247663290915464
350,91750400,4.051791191101074,4.047810733318329,1.2330508477166149,1.237783016498789
375,98304000,4.016004920005798,4.010681450366974,1.2221203960299278,1.2264330271199873
400,104857600,3.9854350090026855,3.980500340461731,1.2127763833506904,1.2171726465029988
425,111411200,3.940962493419647,3.9366430044174194,1.1992620944759007,1.2037579615675489
450,117964800,3.9156934022903442,3.9104886054992676,1.1916041825770816,1.195785006391729
475,124518400,3.8928850293159485,3.887363374233246,1.1846525424997056,1.1887004641368635
500,131072000,3.875901699066162,3.870120584964752,1.1795104233550318,1.183465371723153
525,137625600,3.8607513308525085,3.8550474047660828,1.1748775212386622,1.1788283968521978
528,138412032,3.859758675098419,3.8544470071792603,1.1745679000066318,1.1786377542946609
